Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0001,21,0.76,0.24,0.00,1.00,0.00,36,0.44,0.56,0.14,0.00,0.42,0.00
kaneko,0002,18,0.50,0.22,0.06,0.78,0.22,47,0.19,0.81,0.11,0.16,0.55,0.07
kaneko,0003,16,0.69,0.12,0.06,0.88,0.12,39,0.28,0.72,0.08,0.08,0.56,0.03
kaneko,0004,18,0.50,0.22,0.00,0.72,0.28,36,0.25,0.75,0.11,0.18,0.46,0.04
kaneko,0005,16,0.69,0.19,0.12,1.00,0.00,32,0.38,0.62,0.16,0.00,0.47,0.03
kaneko,0006,17,0.47,0.18,0.06,0.71,0.29,42,0.19,0.81,0.12,0.20,0.49,0.11
kaneko,0007,17,0.41,0.24,0.06,0.71,0.29,37,0.19,0.81,0.11,0.21,0.50,0.04
kaneko,0008,17,0.41,0.18,0.06,0.65,0.35,34,0.21,0.79,0.15,0.23,0.42,0.08
kaneko,0009,17,0.53,0.29,0.00,0.82,0.18,33,0.30,0.70,0.15,0.10,0.45,0.04
kaneko,0010,17,0.35,0.35,0.12,0.82,0.18,50,0.12,0.88,0.16,0.13,0.59,0.07
kaneko,0011,19,0.58,0.21,0.05,0.84,0.16,36,0.31,0.69,0.14,0.09,0.47,0.00
kaneko,0012,15,0.33,0.13,0.00,0.47,0.53,49,0.12,0.88,0.04,0.45,0.39,0.30
kaneko,0013,17,0.59,0.12,0.00,0.71,0.29,42,0.24,0.76,0.05,0.21,0.50,0.09
kaneko,0014,16,0.69,0.31,0.00,1.00,0.00,39,0.28,0.72,0.13,0.00,0.59,0.00
kaneko,0015,16,0.50,0.12,0.25,0.88,0.12,39,0.21,0.79,0.15,0.08,0.56,0.03
kaneko,0016,15,0.67,0.07,0.07,0.80,0.20,43,0.23,0.77,0.07,0.14,0.56,0.09
kaneko,0017,17,0.65,0.06,0.06,0.76,0.24,45,0.24,0.76,0.04,0.17,0.54,0.08
kaneko,0018,16,0.44,0.19,0.06,0.69,0.31,53,0.15,0.85,0.08,0.24,0.53,0.17
kaneko,0019,17,0.65,0.18,0.06,0.88,0.12,40,0.28,0.72,0.10,0.07,0.55,0.02
kaneko,0020,15,0.67,0.07,0.07,0.80,0.20,31,0.32,0.68,0.06,0.12,0.49,0.03
kaneko,0021,19,0.53,0.26,0.11,0.89,0.11,34,0.29,0.71,0.21,0.05,0.45,0.01
kaneko,0022,16,0.75,0.06,0.00,0.81,0.19,29,0.41,0.59,0.03,0.10,0.45,0.00
kaneko,0023,15,0.47,0.13,0.13,0.73,0.27,42,0.17,0.83,0.10,0.20,0.54,0.10
kaneko,0024,16,0.50,0.19,0.00,0.69,0.31,32,0.25,0.75,0.12,0.20,0.43,0.07
