Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
kaneko,0001,23,38,20,3,14,1,5,0.4736842105263158,0.13043478260869565,15,8,12,2,1,0.6052631578947368,0.34782608695652173
katagiri,0001,23,53,20,3,14,1,5,0.6226415094339622,0.13043478260869565,15,8,14,1,0,0.7169811320754718,0.34782608695652173
kojimaarai,0001,23,41,20,3,13,1,6,0.5121951219512195,0.13043478260869565,14,9,12,1,1,0.6585365853658536,0.391304347826087
komachiya,0001,23,41,18,5,14,1,3,0.5609756097560976,0.21739130434782608,12,11,10,1,1,0.7073170731707317,0.4782608695652174
kubota,0001,23,45,17,6,12,1,4,0.6222222222222222,0.2608695652173913,14,9,11,1,2,0.6888888888888889,0.391304347826087
kyusojin,0001,23,47,17,6,13,1,3,0.6382978723404256,0.2608695652173913,14,9,11,1,2,0.7021276595744681,0.391304347826087
matsuda,0001,23,35,17,6,14,1,2,0.5142857142857142,0.2608695652173913,14,9,12,1,1,0.6,0.391304347826087
okumura,0001,23,39,17,6,12,1,4,0.5641025641025641,0.2608695652173913,11,12,9,1,1,0.717948717948718,0.5217391304347826
ozawa,0001,23,46,20,3,15,1,4,0.5652173913043479,0.13043478260869565,14,9,12,1,1,0.6956521739130435,0.391304347826087
takeoka,0001,23,29,20,3,14,1,5,0.31034482758620685,0.13043478260869565,15,8,14,1,0,0.48275862068965514,0.34782608695652173
kaneko,0002,18,48,16,2,11,1,4,0.6666666666666667,0.1111111111111111,13,5,10,1,2,0.7291666666666667,0.2777777777777778
katagiri,0002,18,45,16,2,10,3,3,0.6444444444444444,0.1111111111111111,13,5,9,2,2,0.7111111111111111,0.2777777777777778
kojimaarai,0002,18,33,18,0,11,3,4,0.4545454545454546,0.0,16,2,11,3,2,0.5151515151515151,0.1111111111111111
komachiya,0002,18,40,18,0,11,3,4,0.55,0.0,15,3,10,3,2,0.625,0.16666666666666666
kubota,0002,18,34,17,1,12,4,1,0.5,0.05555555555555555,15,3,11,3,1,0.5588235294117647,0.16666666666666666
kyusojin,0002,18,44,17,1,13,3,1,0.6136363636363636,0.05555555555555555,17,1,11,3,3,0.6136363636363636,0.05555555555555555
matsuda,0002,18,37,17,1,13,3,1,0.5405405405405406,0.05555555555555555,17,1,12,3,2,0.5405405405405406,0.05555555555555555
okumura,0002,18,41,18,0,12,3,3,0.5609756097560976,0.0,13,5,9,3,1,0.6829268292682926,0.2777777777777778
ozawa,0002,18,48,17,1,12,3,2,0.6458333333333333,0.05555555555555555,14,4,10,2,2,0.7083333333333333,0.2222222222222222
takeoka,0002,18,31,17,1,11,3,3,0.4516129032258065,0.05555555555555555,15,3,11,3,1,0.5161290322580645,0.16666666666666666
kaneko,0003,16,39,16,0,10,1,5,0.5897435897435898,0.0,13,3,7,1,5,0.6666666666666667,0.1875
katagiri,0003,16,34,16,0,9,0,7,0.5294117647058824,0.0,13,3,6,1,6,0.6176470588235294,0.1875
kojimaarai,0003,16,17,11,5,4,1,6,0.3529411764705882,0.3125,7,9,4,1,2,0.5882352941176471,0.5625
komachiya,0003,16,30,15,1,8,0,7,0.5,0.0625,10,6,5,1,4,0.6666666666666667,0.375
kubota,0003,16,29,16,0,10,1,5,0.4482758620689655,0.0,13,3,7,1,5,0.5517241379310345,0.1875
kyusojin,0003,16,47,16,0,11,0,5,0.6595744680851063,0.0,12,4,8,0,4,0.7446808510638299,0.25
matsuda,0003,16,33,16,0,8,1,7,0.5151515151515151,0.0,11,5,5,1,5,0.6666666666666667,0.3125
okumura,0003,16,40,15,1,8,0,7,0.625,0.0625,11,5,5,0,6,0.725,0.3125
ozawa,0003,16,39,14,2,7,0,7,0.641025641025641,0.125,11,5,6,0,5,0.717948717948718,0.3125
takeoka,0003,16,42,15,1,11,0,4,0.6428571428571428,0.0625,13,3,9,0,4,0.6904761904761905,0.1875
kaneko,0004,18,36,18,0,12,2,4,0.5,0.0,15,3,11,2,2,0.5833333333333333,0.16666666666666666
katagiri,0004,18,40,17,1,12,2,3,0.575,0.05555555555555555,12,6,9,2,1,0.7,0.3333333333333333
kojimaarai,0004,18,33,18,0,13,2,3,0.4545454545454546,0.0,14,4,10,2,2,0.5757575757575757,0.2222222222222222
komachiya,0004,18,39,16,2,9,2,5,0.5897435897435898,0.1111111111111111,12,6,6,2,4,0.6923076923076923,0.3333333333333333
kubota,0004,18,53,17,1,10,2,5,0.679245283018868,0.05555555555555555,14,4,9,2,3,0.7358490566037736,0.2222222222222222
kyusojin,0004,18,35,17,1,9,2,6,0.5142857142857142,0.05555555555555555,12,6,7,2,3,0.6571428571428571,0.3333333333333333
matsuda,0004,18,29,17,1,12,2,3,0.4137931034482759,0.05555555555555555,14,4,10,2,2,0.5172413793103448,0.2222222222222222
okumura,0004,18,56,16,2,9,2,5,0.7142857142857143,0.1111111111111111,14,4,6,2,6,0.75,0.2222222222222222
ozawa,0004,18,40,17,1,10,2,5,0.575,0.05555555555555555,12,6,7,2,3,0.7,0.3333333333333333
takeoka,0004,18,30,17,1,12,2,3,0.43333333333333335,0.05555555555555555,15,3,12,2,1,0.5,0.16666666666666666
kaneko,0005,18,33,16,2,13,1,2,0.5151515151515151,0.1111111111111111,14,4,12,1,1,0.5757575757575757,0.2222222222222222
katagiri,0005,18,33,16,2,11,3,2,0.5151515151515151,0.1111111111111111,13,5,9,3,1,0.6060606060606061,0.2777777777777778
kojimaarai,0005,18,29,16,2,12,1,3,0.4482758620689655,0.1111111111111111,14,4,12,1,1,0.5172413793103448,0.2222222222222222
komachiya,0005,18,28,16,2,11,3,2,0.4285714285714286,0.1111111111111111,13,5,9,3,1,0.5357142857142857,0.2777777777777778
kubota,0005,18,37,15,3,11,1,3,0.5945945945945945,0.16666666666666666,14,4,11,1,2,0.6216216216216216,0.2222222222222222
kyusojin,0005,18,37,17,1,14,2,1,0.5405405405405406,0.05555555555555555,16,2,12,1,3,0.5675675675675675,0.1111111111111111
matsuda,0005,18,34,16,2,12,2,2,0.5294117647058824,0.1111111111111111,14,4,11,2,1,0.5882352941176471,0.2222222222222222
okumura,0005,18,24,15,3,11,2,2,0.375,0.16666666666666666,11,7,8,2,1,0.5416666666666667,0.3888888888888889
ozawa,0005,18,38,17,1,13,2,2,0.5526315789473684,0.05555555555555555,14,4,10,2,2,0.631578947368421,0.2222222222222222
takeoka,0005,18,35,18,0,14,1,3,0.48571428571428577,0.0,16,2,14,1,1,0.5428571428571429,0.1111111111111111
